iter	Passed	Remaining
0	1	146
1	3	147
2	4	141
3	5	127
4	6	123
5	7	120
6	8	117
7	10	115
8	11	112
9	12	110
10	13	108
11	14	106
12	15	104
13	16	102
14	17	101
15	18	99
16	20	98
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	93
23	29	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	84
29	36	85
30	38	85
31	39	83
32	40	82
33	41	80
34	42	79
35	43	78
36	44	76
37	46	75
38	47	73
39	48	72
40	49	70
41	49	68
42	50	66
43	51	65
44	52	63
45	53	62
46	53	60
47	54	59
48	55	57
49	56	56
50	57	55
51	58	53
52	58	52
53	59	50
54	60	49
55	61	48
56	62	46
57	62	45
58	64	44
59	64	43
60	65	42
61	66	41
62	68	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	34
68	73	33
69	74	32
70	75	30
71	76	29
72	77	28
73	78	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	97	3
97	98	2
98	99	1
99	100	0
