iter	Passed	Remaining
0	165	165716
1	167	83535
2	168	55935
3	169	42122
4	170	33846
5	170	28320
6	171	24382
7	172	21420
8	173	19125
9	174	17286
10	176	15908
11	178	14658
12	179	13596
13	180	12700
14	183	12071
15	184	11363
16	185	10735
17	186	10180
18	187	9679
19	188	9226
20	189	8820
21	190	8449
22	193	8198
23	194	7889
24	195	7609
25	196	7352
26	198	7148
27	199	6916
28	200	6699
29	201	6502
30	201	6311
31	202	6135
32	203	5968
33	204	5812
34	205	5663
35	208	5573
36	209	5443
37	210	5337
38	213	5261
39	214	5150
40	215	5040
41	216	4934
42	217	4834
43	218	4738
44	219	4647
45	219	4559
46	220	4474
47	222	4406
48	223	4337
49	224	4271
50	227	4241
51	228	4173
52	229	4107
53	230	4041
54	231	3978
55	232	3917
56	233	3858
57	235	3832
58	237	3781
59	238	3731
60	239	3686
61	242	3668
62	243	3620
63	244	3572
64	245	3528
65	246	3483
66	247	3439
67	247	3397
68	248	3355
69	251	3347
70	253	3310
71	254	3278
72	256	3259
73	257	3223
74	258	3187
75	259	3152
76	260	3118
77	260	3085
78	261	3052
79	262	3021
80	263	2991
81	266	2980
82	266	2947
83	267	2919
84	269	2895
85	271	2888
86	272	2863
87	273	2836
88	274	2810
89	275	2785
90	276	2760
91	277	2738
92	278	2714
93	281	2709
94	282	2688
95	283	2667
96	284	2648
97	286	2640
98	287	2618
99	288	2596
100	289	2575
101	290	2556
102	291	2536
103	292	2518
104	293	2499
105	295	2493
106	296	2476
107	297	2459
108	299	2445
109	302	2445
110	303	2427
111	303	2409
112	304	2391
113	306	2385
114	308	2374
115	317	2420
116	320	2415
117	322	2409
118	323	2396
119	326	2393
120	327	2380
121	328	2365
122	330	2355
123	334	2363
124	335	2349
125	336	2335
126	337	2320
127	338	2306
128	341	2308
129	345	2312
130	348	2308
131	349	2295
132	350	2281
133	350	2267
134	351	2253
135	352	2239
136	353	2226
137	354	2213
138	357	2213
139	358	2202
140	360	2193
141	361	2186
142	363	2178
143	364	2165
144	365	2153
145	366	2141
146	366	2129
147	367	2117
148	368	2105
149	372	2110
150	373	2102
151	375	2094
152	377	2089
153	378	2077
154	379	2066
155	380	2056
156	380	2045
157	381	2034
158	382	2024
159	385	2025
160	387	2018
161	389	2014
162	393	2018
163	394	2008
164	394	1998
165	395	1988
166	396	1977
167	397	1967
168	398	1958
169	401	1962
170	403	1954
171	404	1948
172	407	1947
173	408	1939
174	409	1930
175	410	1920
176	411	1911
177	411	1902
178	412	1893
179	413	1884
180	417	1889
181	418	1881
182	420	1876
183	423	1878
184	424	1869
185	425	1861
186	426	1852
187	426	1844
188	427	1836
189	428	1827
190	433	1834
191	434	1827
192	435	1821
193	438	1821
194	439	1814
195	440	1807
196	441	1799
197	442	1792
198	446	1799
199	448	1794
200	450	1792
201	452	1788
202	453	1782
203	455	1776
204	456	1769
205	461	1780
206	463	1777
207	466	1776
208	467	1770
209	469	1765
210	470	1759
211	471	1752
212	474	1753
213	475	1746
214	477	1741
215	479	1740
216	481	1735
217	481	1728
218	482	1722
219	484	1716
220	485	1709
221	486	1703
222	489	1706
223	490	1700
224	492	1695
225	494	1694
226	495	1687
227	496	1681
228	497	1674
229	498	1667
230	499	1661
231	499	1654
232	500	1648
233	501	1641
234	504	1642
235	505	1637
236	507	1633
237	511	1636
238	512	1632
239	513	1626
240	514	1620
241	515	1614
242	516	1608
243	519	1608
244	520	1603
245	521	1597
246	522	1593
247	525	1592
248	526	1586
249	527	1581
250	528	1576
251	529	1571
252	531	1567
253	534	1571
254	536	1566
255	537	1563
256	541	1565
257	542	1560
258	543	1554
259	544	1548
260	545	1543
261	545	1537
262	546	1532
263	550	1533
264	551	1528
265	552	1523
266	553	1519
267	555	1516
268	556	1511
269	557	1506
270	558	1501
271	559	1496
272	560	1491
273	561	1486
274	563	1486
275	565	1482
276	566	1477
277	567	1474
278	569	1473
279	570	1468
280	571	1462
281	572	1457
282	573	1452
283	574	1447
284	575	1442
285	576	1438
286	580	1442
287	582	1441
288	585	1440
289	586	1435
290	587	1430
291	588	1426
292	589	1421
293	589	1416
294	591	1412
295	593	1411
296	595	1408
297	596	1405
298	599	1405
299	602	1405
300	603	1402
301	604	1397
302	605	1393
303	606	1388
304	610	1390
305	611	1386
306	612	1383
307	615	1382
308	616	1377
309	617	1373
310	617	1368
311	618	1364
312	619	1359
313	620	1355
314	621	1350
315	623	1350
316	624	1346
317	625	1342
318	627	1338
319	630	1339
320	631	1336
321	632	1332
322	633	1328
323	634	1324
324	635	1320
325	636	1316
326	640	1317
327	641	1313
328	641	1309
329	642	1305
330	643	1301
331	644	1297
332	645	1293
333	646	1289
334	647	1285
335	648	1282
336	649	1278
337	650	1274
338	651	1270
339	655	1273
340	657	1271
341	658	1267
342	659	1264
343	660	1260
344	662	1256
345	663	1253
346	663	1249
347	665	1245
348	666	1242
349	669	1244
350	673	1244
351	674	1241
352	675	1237
353	676	1234
354	677	1230
355	678	1227
356	679	1223
357	680	1220
358	681	1216
359	688	1223
360	689	1220
361	690	1217
362	691	1213
363	692	1210
364	694	1207
365	695	1204
366	696	1201
367	697	1197
368	700	1198
369	702	1195
370	703	1192
371	704	1189
372	705	1185
373	706	1181
374	707	1178
375	707	1174
376	711	1174
377	713	1174
378	714	1171
379	715	1168
380	716	1164
381	717	1161
382	718	1157
383	719	1153
384	720	1150
385	721	1146
386	721	1143
387	722	1140
388	725	1139
389	729	1140
390	730	1137
391	731	1134
392	732	1130
393	732	1127
394	733	1123
395	734	1120
396	735	1117
397	736	1113
398	737	1110
399	738	1107
400	741	1107
401	743	1106
402	745	1103
403	746	1100
404	746	1097
405	747	1093
406	748	1090
407	749	1087
408	750	1083
409	750	1080
410	751	1077
411	752	1074
412	757	1077
413	759	1074
414	760	1072
415	761	1069
416	762	1065
417	763	1062
418	764	1059
419	765	1056
420	765	1053
421	766	1050
422	767	1046
423	769	1046
424	773	1046
425	774	1043
426	775	1041
427	776	1037
428	777	1034
429	778	1031
430	779	1028
431	780	1025
432	781	1022
433	781	1019
434	782	1016
435	788	1019
436	789	1017
437	791	1014
438	791	1012
439	793	1009
440	794	1006
441	794	1003
442	795	1000
443	796	997
444	797	994
445	800	994
446	803	994
447	804	991
448	805	988
449	806	986
450	807	983
451	808	980
452	809	977
453	810	974
454	811	971
455	812	968
456	812	965
457	818	968
458	819	965
459	820	963
460	821	960
461	822	957
462	823	954
463	824	952
464	824	949
465	825	946
466	826	943
467	827	940
468	828	937
469	834	941
470	837	940
471	838	937
472	839	935
473	840	932
474	841	930
475	842	927
476	843	924
477	844	921
478	847	921
479	848	919
480	849	917
481	850	914
482	851	911
483	852	908
484	853	906
485	854	903
486	855	900
487	856	898
488	856	895
489	860	896
490	862	894
491	863	891
492	864	889
493	865	886
494	866	883
495	866	880
496	867	878
497	868	875
498	869	873
499	870	870
500	871	867
501	877	870
502	878	867
503	879	865
504	880	862
505	881	860
506	882	857
507	882	855
508	883	852
509	884	849
510	885	847
511	886	844
512	888	843
513	892	844
514	894	842
515	895	839
516	896	837
517	897	835
518	898	832
519	899	830
520	900	827
521	901	825
522	901	822
523	907	824
524	909	822
525	910	820
526	910	817
527	911	815
528	912	812
529	913	810
530	914	807
531	915	805
532	916	802
533	919	802
534	921	800
535	922	798
536	923	795
537	923	793
538	924	790
539	925	788
540	926	785
541	927	783
542	928	781
543	928	778
544	931	778
545	935	777
546	936	775
547	937	773
548	938	771
549	939	768
550	940	766
551	941	763
552	942	761
553	943	759
554	943	756
555	944	754
556	950	755
557	951	753
558	952	751
559	953	748
560	953	746
561	954	744
562	955	741
563	956	739
564	957	737
565	958	734
566	959	732
567	959	730
568	966	732
569	968	730
570	969	728
571	969	725
572	970	723
573	971	721
574	972	718
575	973	716
576	974	714
577	975	711
578	980	712
579	981	711
580	983	709
581	984	707
582	986	705
583	986	702
584	987	700
585	988	698
586	989	696
587	990	693
588	993	693
589	994	691
590	995	689
591	996	686
592	997	684
593	998	682
594	999	680
595	999	677
596	1000	675
597	1001	673
598	1002	671
599	1005	670
600	1008	669
601	1009	667
602	1011	665
603	1011	663
604	1012	661
605	1013	659
606	1014	656
607	1015	654
608	1016	652
609	1016	650
610	1017	647
611	1020	647
612	1024	646
613	1025	644
614	1026	642
615	1027	640
616	1028	638
617	1029	636
618	1030	634
619	1031	632
620	1032	629
621	1032	627
622	1035	626
623	1039	626
624	1040	624
625	1041	622
626	1042	620
627	1043	617
628	1043	615
629	1044	613
630	1045	611
631	1046	609
632	1047	607
633	1048	605
634	1053	605
635	1054	603
636	1055	601
637	1056	599
638	1057	597
639	1058	595
640	1058	593
641	1059	590
642	1060	588
643	1061	586
644	1062	584
645	1063	582
646	1066	581
647	1069	580
648	1070	578
649	1071	576
650	1072	574
651	1073	572
652	1073	570
653	1074	568
654	1075	566
655	1076	564
656	1077	562
657	1080	561
658	1084	561
659	1085	559
660	1086	557
661	1087	555
662	1089	553
663	1090	551
664	1091	549
665	1091	547
666	1092	545
667	1097	545
668	1098	543
669	1100	541
670	1101	539
671	1101	537
672	1102	535
673	1103	533
674	1104	531
675	1105	529
676	1106	527
677	1106	525
678	1107	523
679	1113	523
680	1114	521
681	1115	520
682	1116	518
683	1117	516
684	1118	514
685	1119	512
686	1120	510
687	1120	508
688	1121	506
689	1122	504
690	1125	503
691	1129	502
692	1130	500
693	1131	498
694	1131	496
695	1132	494
696	1133	492
697	1134	490
698	1135	488
699	1136	486
700	1137	485
701	1138	483
702	1142	482
703	1143	480
704	1144	478
705	1145	476
706	1146	475
707	1147	473
708	1147	471
709	1148	469
710	1149	467
711	1150	465
712	1151	463
713	1152	461
714	1158	461
715	1159	459
716	1160	458
717	1161	456
718	1162	454
719	1163	452
720	1164	450
721	1165	448
722	1166	446
723	1166	444
724	1167	442
725	1173	442
726	1174	441
727	1176	439
728	1177	437
729	1178	435
730	1179	434
731	1180	432
732	1181	430
733	1181	428
734	1182	426
735	1187	425
736	1188	424
737	1190	422
738	1191	420
739	1191	418
740	1192	416
741	1193	415
742	1194	413
743	1195	411
744	1196	409
745	1196	407
746	1197	405
747	1204	405
748	1206	404
749	1207	402
750	1209	400
751	1212	399
752	1213	397
753	1218	397
754	1219	395
755	1221	394
756	1221	392
757	1222	390
758	1223	388
759	1224	386
760	1225	384
761	1226	382
762	1226	381
763	1227	379
764	1228	377
765	1232	376
766	1234	375
767	1235	373
768	1236	371
769	1237	369
770	1238	367
771	1239	365
772	1239	364
773	1240	362
774	1241	360
775	1242	358
776	1243	356
777	1246	355
778	1248	354
779	1250	352
780	1251	350
781	1252	349
782	1253	347
783	1254	345
784	1254	343
785	1255	341
786	1256	340
787	1257	338
788	1258	336
789	1262	335
790	1264	334
791	1265	332
792	1266	330
793	1267	328
794	1268	327
795	1269	325
796	1270	323
797	1271	321
798	1272	320
799	1275	318
800	1276	317
801	1278	315
802	1278	313
803	1280	312
804	1280	310
805	1281	308
806	1282	306
807	1283	305
808	1284	303
809	1285	301
810	1288	300
811	1289	298
812	1291	296
813	1292	295
814	1293	293
815	1293	291
816	1294	290
817	1295	288
818	1296	286
819	1297	284
820	1298	283
821	1301	281
822	1303	280
823	1304	278
824	1305	276
825	1306	275
826	1307	273
827	1308	271
828	1309	270
829	1310	268
830	1310	266
831	1311	264
832	1312	263
833	1317	262
834	1319	260
835	1320	259
836	1321	257
837	1322	255
838	1323	253
839	1323	252
840	1324	250
841	1325	248
842	1326	247
843	1327	245
844	1328	243
845	1334	242
846	1335	241
847	1336	239
848	1337	237
849	1338	236
850	1339	234
851	1340	232
852	1340	231
853	1341	229
854	1342	227
855	1345	226
856	1349	225
857	1350	223
858	1351	221
859	1352	220
860	1353	218
861	1354	216
862	1355	215
863	1356	213
864	1357	211
865	1358	210
866	1362	209
867	1364	207
868	1365	205
869	1366	204
870	1367	202
871	1367	200
872	1368	199
873	1369	197
874	1370	195
875	1371	194
876	1372	192
877	1372	190
878	1378	189
879	1379	188
880	1380	186
881	1381	184
882	1382	183
883	1383	181
884	1383	179
885	1384	178
886	1385	176
887	1386	174
888	1387	173
889	1388	171
890	1392	170
891	1393	168
892	1394	167
893	1395	165
894	1396	163
895	1397	162
896	1398	160
897	1399	158
898	1400	157
899	1401	155
900	1401	154
901	1404	152
902	1408	151
903	1409	149
904	1410	148
905	1411	146
906	1412	144
907	1413	143
908	1413	141
909	1414	139
910	1415	138
911	1416	136
912	1417	135
913	1420	133
914	1422	132
915	1424	130
916	1424	128
917	1425	127
918	1426	125
919	1427	124
920	1428	122
921	1429	120
922	1430	119
923	1430	117
924	1431	116
925	1434	114
926	1437	113
927	1438	111
928	1439	110
929	1440	108
930	1441	106
931	1442	105
932	1443	103
933	1444	102
934	1445	100
935	1446	98
936	1449	97
937	1450	95
938	1455	94
939	1457	93
940	1457	91
941	1458	89
942	1459	88
943	1460	86
944	1461	85
945	1462	83
946	1467	82
947	1468	80
948	1469	78
949	1470	77
950	1471	75
951	1472	74
952	1473	72
953	1474	71
954	1475	69
955	1476	67
956	1477	66
957	1481	64
958	1483	63
959	1484	61
960	1485	60
961	1486	58
962	1487	57
963	1487	55
964	1488	53
965	1489	52
966	1490	50
967	1491	49
968	1492	47
969	1495	46
970	1498	44
971	1499	43
972	1500	41
973	1501	40
974	1501	38
975	1502	36
976	1503	35
977	1504	33
978	1505	32
979	1506	30
980	1506	29
981	1510	27
982	1512	26
983	1513	24
984	1514	23
985	1515	21
986	1516	19
987	1517	18
988	1517	16
989	1518	15
990	1519	13
991	1520	12
992	1521	10
993	1524	9
994	1527	7
995	1529	6
996	1530	4
997	1530	3
998	1531	1
999	1532	0
